id,longitude,latitude
2961579590,77.208701,28.6972933
9863295102,77.2087875,28.697257
6642826792,77.2085092,28.6972111
2935766124,77.216873,28.6971887
6419226649,77.2086166,28.6971717
9849998452,77.2119685,28.6971201
6257738690,77.2095124,28.6971121
9849590808,77.2110706,28.6970317
9849998453,77.2118264,28.6968342
4929042278,77.2106435,28.6966772
2971778134,77.2135482,28.69663
2511131247,77.2105999,28.6965844
10279621410,77.2113886,28.696401
10279621416,77.2116689,28.6962971
2935766117,77.2163589,28.6961784
9849590802,77.213327,28.696173
9181767901,77.211914,28.6960884
2471585485,77.2131155,28.695736
6642826785,77.2076122,28.6957197
6642826799,77.2076587,28.6957013
2471585484,77.2130802,28.6956477
4556160784,77.2134994,28.6955948
10908515339,77.2135334,28.6954734
9852263843,77.212403,28.6953593
9849990920,77.2118119,28.6953373
9849990923,77.2126036,28.6952789
6642826801,77.2072079,28.6951822
2969962409,77.2123009,28.6951496
6639619874,77.2072914,28.6951393
11021329057,77.2117232,28.6951379
9863295107,77.2073696,28.6950992
11021329058,77.21221,28.6949578
10908515326,77.21519,28.6948366
2935766111,77.2156915,28.6947886
9849636923,77.2115607,28.6947711
2958094343,77.2154838,28.6947236
2958094342,77.2157719,28.6946186
2969962402,77.2120408,28.6946008
2958094341,77.2155717,28.6945226
2969962400,77.212496,28.6944576
8989350687,77.2093911,28.694149
3661703915,77.2175704,28.6941077
2945828444,77.217514,28.6939832
6362190794,77.211954,28.6932698
8989350688,77.2119261,28.6932087
2958094340,77.2119035,28.6931591
11169499141,77.205367,28.6931523
6642826805,77.2059292,28.6931343
6419518543,77.2050154,28.6931052
6651520259,77.2052712,28.6930088
10713708181,77.2160509,28.6929577
6362190795,77.2126239,28.6928879
11478291669,77.205364,28.6928366
6419492014,77.2056744,28.6927528
9863295106,77.2057835,28.6927059
9863407556,77.2056274,28.6926971
9863295101,77.205746,28.6926559
6725669990,77.2035657,28.69249
6673229093,77.2042859,28.6924229
6669975440,77.2020069,28.6924178
10610428366,77.206659,28.6923258
2958094339,77.2144526,28.6922062
6725669989,77.2034139,28.6921951
9860183857,77.202289,28.6921167
9860183856,77.2022686,28.6920762
10610428367,77.2065597,28.6920486
6734556562,77.2022151,28.6920265
11478251948,77.2040926,28.692015
6734556557,77.2033385,28.6919809
